Messdatengenerator 1.55
messung.art;Pulsoximetrie
messung.beginnMessung;2025-04-21T12:23
messung.endeMessung;2025-04-21T21:00
messung.PateintenID;2025000001
messung.wertSpO2;1
messung.wertPuls;2
messung.werte
14;221
45;266
67;234
61;258
35;229
50;255
42;233
23;228
61;261
54;266
14;244
42;235
70;252
50;225
49;240
22;256
11;254
30;252
24;243
22;226
34;226
23;244
41;241
46;245
46;224
43;241
59;256
55;247
36;268
30;259
33;220
34;267
65;241
22;256
37;237
25;231
56;247
49;237
51;238
16;264
21;220
65;236
41;246
69;222
35;253
54;236
41;249
33;255
16;252
22;244
20;238
48;220
33;246
13;247
56;243
12;241
70;228
18;262
47;240
65;238
22;247
12;255
65;225
56;260
43;223
67;228
53;220
15;261
63;244
33;226
65;221
62;237
21;230
35;226
66;236
21;258
28;253
61;227
11;226
60;269
21;239
32;266
56;259
47;268
62;239
64;263
52;236
33;222
17;229
15;242
58;222
19;228
42;242
66;221
55;226
14;244
30;265
54;248
36;252
29;236
22;234
45;260
13;252
16;251
66;239
18;230
35;232
36;228
22;269
49;266
21;233
30;262
65;256
26;237
40;241
51;247
51;221
43;251
20;268
40;228
55;261
67;268
65;268
33;240
16;242
51;229
36;262
31;266
15;234
50;225
69;249
62;250
31;255
47;222
39;220
18;231
63;228
26;225
26;266
68;261
55;239
23;256
55;256
15;256
41;254
43;221
41;234
56;260
23;223
31;269
19;220
53;242
43;261
60;242
43;221
35;266
56;221
24;243
63;261
33;253
25;226
39;268
16;228
22;232
69;224
60;256
19;254
45;247
13;268
65;262
59;245
15;244
25;237
58;220
19;239
24;251
21;234
36;263
46;231
50;246
70;241
24;226
18;256
65;241
34;226
33;246
20;248
21;251
50;235
49;245
18;256
12;264
65;261
58;251
58;264
49;226
32;240
36;256
45;264
45;265
68;265
45;244
16;227
59;240
14;228
47;252
60;229
37;235
36;250
63;255
47;224
49;228
60;257
13;221
50;222
11;252
51;236
27;247
49;238
51;261
66;242
46;221
16;237
65;255
58;243
22;242
42;264
27;239
60;237
14;261
48;269
33;250
63;229
32;265
67;256
66;229
20;247
46;247
37;256
37;253
27;238
22;267
21;224
28;260
37;247
40;251
49;238
52;243
63;244
31;255
37;244
41;254
48;220
50;223
28;243
39;245
61;241
62;247
64;265
99;54
99;66
100;75
100;54
100;56
100;60
96;62
100;71
100;63
100;59
100;54
100;89
96;53
100;59
100;80
100;50
100;65
100;55
100;77
100;76
98;56
100;65
100;57
98;70
100;79
99;81
100;57
97;63
96;80
100;59
96;67
100;86
96;62
100;78
100;79
96;86
100;74
100;94
100;71
100;82
100;99
100;73
96;63
98;93
100;50
99;58
100;68
100;78
100;55
99;65
100;91
99;51
100;86
97;94
100;73
100;71
100;91
96;68
97;71
100;91
97;75
100;72
97;73
98;80
100;81
100;84
100;79
98;55
100;54
97;68
97;81
96;82
100;98
100;70
97;65
98;53
100;79
100;80
98;67
100;79
96;59
99;61
96;50
96;88
98;55
97;98
100;67
100;71
100;53
100;54
100;53
100;81
100;55
100;60
100;71
100;63
97;66
100;63
99;81
100;58
99;57
97;99
100;51
100;66
100;89
100;79
97;78
100;75
100;84
100;79
99;61
99;50
99;53
98;58
100;75
99;89
100;62
100;65
100;97
100;75
100;90
100;56
100;59
99;64
96;90
96;68
99;80
96;98
100;87
98;83
100;81
100;94
100;99
100;86
97;99
100;69
96;92
98;68
100;61
99;72
100;55
100;95
97;91
100;52
100;55
100;83
96;95
96;97
100;88
100;93
96;89
100;58
98;53
100;83
100;53
100;81
99;57
100;77
97;95
97;96
100;62
98;53
98;56
100;56
97;52
99;99
100;64
96;67
98;84
100;98
100;95
100;57
100;82
100;51
100;74
99;50
100;53
